Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
25,All,1991-03-17,1987,190.0,Kenny Smith,PG,1991,3,Houston Rockets,77.0,1.0
22,All,1991-03-10,1990,203.0,Dennis Scott,SF,1991,0,Orlando Magic,104.0,1.0
27,All,1991-03-03,1985,198.0,Gerald Wilkins,SG,1991,5,New York Knicks,84.0,1.0
25,All,1991-02-24,1987,201.0,Reggie Miller,SG,1991,3,Indiana Pacers,84.0,1.0
22,All,1991-02-17,1990,201.0,Lionel Simmons,SF,1991,0,Sacramento Kings,95.0,1.0
28,All,1991-02-03,1984,206.0,Otis Thorpe,PF,1991,6,Houston Rockets,102.0,1.0
28,All,1991-01-27,1985,178.0,Michael Adams,PG,1991,5,Denver Nuggets,74.0,1.0
24,All,1991-01-20,1989,183.0,Tim Hardaway,PG,1991,1,Golden State Warriors,79.0,1.0
34,All,1991-01-13,1977,201.0,Bernard King,SF,1991,13,Washington Bullets,93.0,1.0
31,All,1991-01-06,1982,201.0,Dominique Wilkins,SF,1991,8,Atlanta Hawks,91.0,1.0
31,All,1990-12-30,1982,193.0,Ricky Pierce,SG,1991,8,Milwaukee Bucks,93.0,1.0
28,All,1990-12-23,1984,198.0,Michael Jordan,SG,1991,6,Chicago Bulls,98.0,1.0
24,All,1990-12-16,1987,185.0,Kevin Johnson,PG,1991,3,Phoenix Suns,82.0,1.0
28,All,1990-12-09,1984,185.0,John Stockton,PG,1991,6,Utah Jazz,77.0,1.0
28,All,1990-12-02,1984,198.0,Michael Jordan,SG,1991,6,Chicago Bulls,98.0,1.0
28,All,1990-11-25,1984,198.0,Charles Barkley,PF,1991,6,Philadelphia Sixers,114.0,1.0
28,All,1990-11-18,1983,201.0,Clyde Drexler,SG,1991,7,Portland Trail Blazers,95.0,1.0
27,All,1990-11-11,1985,201.0,Chris Mullin,SF,1991,5,Golden State Warriors,98.0,1.0
28,All,1992-04-19,1985,206.0,Karl Malone,PF,1992,6,Utah Jazz,120.0,1.0
